Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1.0,Precious Achiuwa,PF,21.0,MIA,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4
2.0,Jaylen Adams,PG,24.0,MIL,7.0,18.0,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1
3.0,Steven Adams,C,27.0,NOP,58.0,1605.0,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7
4.0,Bam Adebayo,C,23.0,MIA,64.0,2143.0,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7
5.0,LaMarcus Aldridge,C,35.0,SAS,21.0,544.0,15.1,0.545,0.302,0.149,3.3,15.4,9.2,10.2,0.7,2.8,7.0,22.7,0.3,0.5,0.8,0.067,-0.2,-0.7,-0.9,0.2
5.0,LaMarcus Aldridge,C,35.0,BRK,5.0,130.0,18.2,0.611,0.104,0.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,0.2,0.2,0.4,0.135,0.1,2.1,2.2,0.1
6.0,Ty-Shon Alexander,SG,22.0,PHO,15.0,47.0,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1
7.0,Nickeil Alexander-Walker,SG,22.0,NOP,46.0,1007.0,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,0.035,-1.4,0.1,-1.3,0.2
8.0,Grayson Allen,SG,25.0,MEM,50.0,1259.0,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6
9.0,Jarrett Allen,C,22.0,BRK,12.0,320.0,21.5,0.73,0.0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1.0,0.5,1.4,0.216,1.7,0.9,2.6,0.4
9.0,Jarrett Allen,C,22.0,CLE,51.0,1544.0,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,3.4,1.6,5.0,0.155,1.2,-0.4,0.8,1.1
10.0,Al-Farouq Aminu,PF,30.0,ORL,17.0,367.0,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,0.014,-4.4,1.3,-3.1,-0.1
10.0,Al-Farouq Aminu,PF,30.0,CHI,6.0,67.0,3.0,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0.0,19.7,9.8,-0.1,0.1,0.0,-0.013,-7.5,0.2,-7.3,-0.1
11.0,Kyle Anderson,PF,27.0,MEM,69.0,1887.0,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
12.0,Giannis Antetokounmpo,PF,26.0,MIL,61.0,2013.0,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6
13.0,Kostas Antetokounmpo,PF,23.0,LAL,15.0,56.0,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1
14.0,Thanasis Antetokounmpo,SF,28.0,MIL,57.0,551.0,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2
15.0,Carmelo Anthony,PF,36.0,POR,69.0,1690.0,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4
16.0,Cole Anthony,PG,20.0,ORL,47.0,1273.0,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0.0,-0.001,-1.9,-1.4,-3.3,-0.4
17.0,OG Anunoby,SF,23.0,TOR,43.0,1433.0,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2
18.0,Ryan Arcidiacono,PG,26.0,CHI,44.0,450.0,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0.0
19.0,Trevor Ariza,SF,35.0,MIA,30.0,841.0,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1.0,1.6,0.091,-1.2,0.1,-1.1,0.2
20.0,D.J. Augustin,PG,33.0,MIL,37.0,713.0,10.2,0.542,0.672,0.208,1.7,5.5,3.7,18.6,1.3,0.1,14.0,14.3,0.8,0.4,1.2,0.08,-1.3,-0.9,-2.2,0.0
20.0,D.J. Augustin,PG,33.0,HOU,20.0,416.0,15.5,0.604,0.583,0.358,2.2,9.4,5.6,28.3,0.9,0.0,15.1,21.0,0.8,0.1,0.9,0.103,0.6,-2.6,-2.0,0.0
21.0,Deni Avdija,SF,20.0,WAS,54.0,1257.0,7.6,0.515,0.538,0.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,0.0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4
22.0,Deandre Ayton,C,22.0,PHO,69.0,2115.0,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7
23.0,Udoka Azubuike,C,21.0,UTA,15.0,57.0,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1,0.1,0.119,-5.5,1.7,-3.8,0.0
24.0,Dwayne Bacon,SG,25.0,ORL,72.0,1853.0,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5
25.0,Marvin Bagley III,PF,21.0,SAC,43.0,1112.0,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3
